# Program:featureCounts v2.1.1; Command:"featureCounts" "-a" "braker_output/braker.gtf" "-o" "gene_counts.txt" "-T" "2" "-p" "-t" "exon" "-g" "gene_id" "Control_1.bam" "Control_2.bam" "Control_3.bam" "Heat_treated_1.bam" "Heat_treated_2.bam" "Heat_treated_3.bam" 
Geneid	Chr	Start	End	Strand	Length	Control_1.bam	Control_2.bam	Control_3.bam	Heat_treated_1.bam	Heat_treated_2.bam	Heat_treated_3.bam
g249	contig_67_pilon;contig_67_pilon;contig_67_pilon;contig_67_pilon;contig_67_pilon;contig_67_pilon;contig_67_pilon;contig_67_pilon;contig_67_pilon;contig_67_pilon;contig_67_pilon;contig_67_pilon	430998;432216;432588;432873;433207;434006;434703;434961;435289;435698;435874;436364	432101;432452;432764;433094;433735;434427;434840;435203;435504;435729;436150;436645	+;+;+;+;+;+;+;+;+;+;+;+	3879	278	2381	1530	721	451	621
g250	contig_67_pilon;contig_67_pilon	500961;501955	501453;502094	+;+	633	88	146	140	95	98	149
g251	contig_67_pilon;contig_67_pilon;contig_67_pilon;contig_67_pilon;contig_67_pilon;contig_67_pilon;contig_67_pilon;contig_67_pilon;contig_67_pilon	508109;508474;509247;509430;509738;509955;510375;510711;510932	508275;508957;509330;509495;509810;510214;510518;510751;511058	+;+;+;+;+;+;+;+;+	1446	465	470	370	479	192	448
g252	contig_67_pilon;contig_67_pilon;contig_67_pilon;contig_67_pilon;contig_67_pilon;contig_67_pilon;contig_67_pilon;contig_67_pilon	540860;541306;541593;541840;542391;542733;543117;543380	541102;541402;541660;541980;542525;542881;543258;543472	+;+;+;+;+;+;+;+	1068	614	647	515	289	207	390
g253	contig_67_pilon;contig_67_pilon;contig_67_pilon;contig_67_pilon;contig_67_pilon;contig_67_pilon;contig_67_pilon;contig_67_pilon;contig_67_pilon	600339;601066;601819;602329;602802;603085;603569;603874;604257	600647;601470;602040;602529;602891;603192;603694;603996;605699	+;+;+;+;+;+;+;+;+	3027	1404	1621	1478	2075	1049	1782
g254	contig_67_pilon;contig_67_pilon;contig_67_pilon;contig_67_pilon;contig_67_pilon	638955;639259;639784;640122;641614	639128;639528;639892;640236;641866	-;-;-;-;-	921	2411	2848	2468	5876	6592	4103
g255	contig_67_pilon;contig_67_pilon;contig_67_pilon;contig_67_pilon;contig_67_pilon;contig_67_pilon;contig_67_pilon	714840;715134;715724;716115;716370;717464;718022	714932;715436;715903;716219;717063;717747;718159	+;+;+;+;+;+;+	1797	2196	2627	2984	1013	1045	1014
g256	contig_67_pilon;contig_67_pilon;contig_67_pilon	749832;750799;751026	750109;750864;751293	-;-;-	612	3656	518	1030	3464	3729	1374
g257	contig_69_pilon;contig_69_pilon	66493;66784	66697;68417	+;+	1839	12	34	35	2	18	27
g258	contig_69_pilon;contig_69_pilon	183045;183649	183490;183658	-;-	456	11355	8893	12189	15626	15783	12834
g259	contig_69_pilon;contig_69_pilon;contig_69_pilon;contig_69_pilon	214514;215289;215784;216122	215050;215372;216009;216552	+;+;+;+	1278	36	18	11	136	10	133
g260	contig_69_pilon;contig_69_pilon	279149;280419	280021;280565	-;-	1020	313	246	182	711	340	284
g261	contig_69_pilon;contig_69_pilon	332533;333281	333189;334648	-;-	2025	395	1998	1188	397	226	624
g262	contig_69_pilon;contig_69_pilon;contig_69_pilon;contig_69_pilon	422781;423964;424312;424654	422968;424115;424437;424850	+;+;+;+	663	2169	2794	2520	6343	5453	4377
g263	contig_69_pilon;contig_69_pilon;contig_69_pilon;contig_69_pilon	457682;458166;458587;458991	458026;458360;458807;459228	+;+;+;+	999	5	2	2	119	117	72
g264	contig_69_pilon;contig_69_pilon	460645;461131	461012;462949	-;-	2187	1665	1231	1082	962	586	1144
g265	contig_69_pilon;contig_69_pilon;contig_69_pilon	533399;533715;533999	533575;533885;534322	+;+;+	672	33	32	48	1	4	0
g266	contig_69_pilon;contig_69_pilon;contig_69_pilon;contig_69_pilon	571149;571663;572261;572850	571493;571887;572425;573167	-;-;-;-	1053	72	51	81	33	7	67
g267	contig_69_pilon;contig_69_pilon;contig_69_pilon	586031;586507;586943	586404;586750;587131	+;+;+	807	80	47	10	7	146	4
g268	contig_69_pilon;contig_69_pilon;contig_69_pilon;contig_69_pilon;contig_69_pilon	593153;593718;594390;594800;595224	593585;594235;594598;595114;595524	+;+;+;+;+	1776	489	542	332	1023	826	694
g269	contig_69_pilon;contig_69_pilon;contig_69_pilon	655162;655694;656933	655386;656470;657406	-;-;-	1476	1233	1659	1737	2179	1927	1908
g270	contig_69_pilon;contig_69_pilon;contig_69_pilon;contig_69_pilon;contig_69_pilon;contig_69_pilon;contig_69_pilon	663357;663626;663918;664311;664714;665261;665647	663500;663746;664039;664372;664882;665434;665901	-;-;-;-;-;-;-	1047	4468	5589	5628	5476	5792	4397
g271	contig_69_pilon;contig_69_pilon;contig_69_pilon;contig_69_pilon;contig_69_pilon;contig_69_pilon;contig_69_pilon;contig_69_pilon;contig_69_pilon	826437;826817;827301;827766;827940;828350;828690;828914;829394	826724;826918;827423;827825;828036;828423;828743;828997;829516	+;+;+;+;+;+;+;+;+	1005	1435	1876	1903	1193	1026	2110
g272	contig_69_pilon;contig_69_pilon	832985;834379	833873;834995	+;+	1506	3897	5578	6473	1695	2642	3293
g273	contig_69_pilon;contig_69_pilon;contig_69_pilon	848907;849670;850185	849538;849830;850459	+;+;+	1068	462	452	642	937	264	768
g274	contig_72_pilon;contig_72_pilon;contig_72_pilon;contig_72_pilon;contig_72_pilon	62478;63332;63702;64083;65061	62841;63431;63881;64200;65150	+;+;+;+;+	852	623	574	703	900	485	1145
g275	contig_72_pilon;contig_72_pilon;contig_72_pilon	239526;240450;241247	240170;240735;241782	+;+;+	1467	1488	854	1270	487	330	292
g276	contig_7_pilon;contig_7_pilon;contig_7_pilon	19524;20027;20383	19706;20099;20468	+;+;+	342	264	371	309	456	203	645
g277	contig_7_pilon;contig_7_pilon;contig_7_pilon;contig_7_pilon;contig_7_pilon;contig_7_pilon;contig_7_pilon;contig_7_pilon;contig_7_pilon;contig_7_pilon;contig_7_pilon;contig_7_pilon;contig_7_pilon	103588;104162;104663;104987;105526;105948;106320;106575;107107;107402;107733;107997;108354	103935;104222;104757;105099;105697;105987;106384;106688;107171;107561;107852;108085;108438	+;+;+;+;+;+;+;+;+;+;+;+;+	1527	373	461	364	360	433	730
g278	contig_7_pilon;contig_7_pilon	144210;145522	145415;147048	+;+	2733	12	144	161	12	0	2
g279	contig_7_pilon;contig_7_pilon;contig_7_pilon	302112;302356;302669	302203;302436;303134	-;-;-	639	267	329	413	449	265	479
g280	contig_7_pilon;contig_7_pilon	397951;398257	398124;398583	-;-	501	71	1094	1313	59	10	35
g281	contig_7_pilon;contig_7_pilon	439074;439594	439432;440410	-;-	1176	6	6	12	39	2	32
g282	contig_7_pilon;contig_7_pilon;contig_7_pilon;contig_7_pilon;contig_7_pilon	455417;456058;456475;456866;457286	455650;456363;456726;457124;457572	-;-;-;-;-	1338	2493	234	404	2098	3315	1952
g283	contig_7_pilon;contig_7_pilon;contig_7_pilon	487001;488085;488440	487993;488299;488797	+;+;+	1566	2647	1095	1395	2736	4729	2000
g284	contig_7_pilon;contig_7_pilon;contig_7_pilon	521367;522898;523793	522605;523313;524486	-;-;-	2349	646	1410	1306	942	502	1132
g285	contig_7_pilon;contig_7_pilon;contig_7_pilon	605305;605889;606862	605442;606080;607608	-;-;-	1077	674	1112	892	1044	510	1353
g286	contig_7_pilon;contig_7_pilon;contig_7_pilon;contig_7_pilon;contig_7_pilon	609149;609477;609788;610361;610833	609266;609634;609922;610434;611160	-;-;-;-;-	813	5228	3523	4545	7731	8136	5552
